id;book_id;student_id;request_date;request_status;return_date;remarks
1;17048;before plagiarize retrace;2024-09-20T22:06:54;RETURN;2024-09-21T13:31:16;but very gosh
2;29467;naturalize;2024-09-20T20:18:21;RETURN;2024-09-21T14:02:29;famously fatally dearly
3;9539;consequently;2024-09-21T13:28:11;RETURN;2024-09-21T02:03:32;vaccine frankly
4;2952;limply golden;2024-09-20T17:28:36;RETURN;2024-09-20T16:15:44;lest crank
5;7944;whether silently;2024-09-21T07:23:49;CANCEL;2024-09-21T02:29:51;loll roughen
6;22844;gee tall;2024-09-21T03:47:36;RETURN;2024-09-21T02:15:39;best except
7;28503;down barring fickle;2024-09-20T23:29:34;RETURN;2024-09-20T15:37:14;diaphragm aw
8;26020;creamy dependent;2024-09-21T11:30:54;CANCEL;2024-09-21T02:40:33;yum oh mare
9;252;permafrost injustice unleash;2024-09-20T15:13:40;BORROW;2024-09-20T23:37:39;below truly
10;23045;but wetland pro;2024-09-20T21:25:12;RETURN;2024-09-20T15:49:25;ladybug geez
